trip_id,distance_km,load_weight_kg,fuel_efficiency_kmpl,average_speed_kmh,fuel_used_liters
185,69,15745,9.56,63.88,8.29
186,954,11823,9.94,44.96,112.28
187,562,15469,9.3,39.96,68.97
188,1039,3994,6.57,58.6,168.54
189,654,1218,9.9,62.91,67.04
190,150,16776,9.25,75.15,20.44
191,521,12044,6.49,39.51,87.7
192,330,3683,9.57,62.32,35.93
193,952,1593,8.11,66.62,118.17
194,654,11205,8.86,38.78,79.07
195,1154,12488,7.89,75.67,178.69
196,576,16289,9.85,44.76,70.52
197,285,15846,9.83,37.04,35.15
198,863,18762,7.15,69.53,141.7
199,1148,4549,7.55,63.64,166.12
200,830,12672,5.99,41.69,148.71
201,1199,11248,9.62,41.07,132.6
202,1000,10402,8.42,35.83,125.16
203,126,10473,9.98,35.81,13.58
204,1150,4945,7.25,48.55,173.95
205,1156,14233,8.14,66.33,173.98
206,252,16534,8.27,76.95,36.6
207,808,7619,7.5,77.53,126.67
208,253,12536,7.95,78.89,37.35
209,865,9540,6.35,36.11,154.41
210,981,3503,8.48,62.09,123.82
211,93,2157,9.04,42.18,10.12
212,470,2748,9.23,57.71,53.59
213,527,11266,8.98,69.43,68.49
214,617,5241,9.94,57.01,68.22
215,275,1344,6.09,47.91,47.08
216,713,1017,6.28,32.62,117.46
217,1127,4224,8.86,53.81,137.3
218,1101,4073,7.53,41.08,153.92
219,1117,10383,7.56,78.2,164.72
220,1030,13660,7.42,35.4,161.13
221,958,2908,9.55,46.11,99.6
222,308,9511,8.31,59.27,42.22
223,830,17885,6.83,55.28,143.76
224,284,18566,8.74,40.75,38.34
225,517,14059,7.03,52.67,83.62
226,244,10741,7.42,63.26,36.91
227,362,16040,5.8,71.59,72.48
228,247,12710,9.15,57.82,31.17
229,1200,18905,6.98,36.11,201.43
230,916,2185,9.86,60.02,95.4
231,1089,7471,6.2,54.11,196.93
232,767,18727,7.15,68.13,132.96
233,928,18881,9.89,70.92,117.54
234,1190,1360,8.24,62.89,153.06
235,109,6411,6.73,68.12,18.61
236,768,700,6.32,37.16,124.3
237,192,5148,8.83,78.59,23.18
238,1136,7549,7.19,52.68,164.98
239,688,11129,9.0,58.38,82.79
240,157,5598,6.21,60.89,27.75
241,607,15019,8.48,54.28,82.55
242,609,7563,8.9,35.69,73.09
243,630,16445,7.87,45.42,90.61
244,162,751,6.42,77.27,27.53
245,573,9984,6.98,30.39,92.52
246,409,4733,7.21,65.18,61.22
247,775,2861,7.29,67.1,112.37
248,991,3051,9.38,58.79,111.6
249,905,9986,6.02,31.04,162.45
250,992,12357,5.9,72.22,192.24
251,870,17669,5.85,73.53,187.73
252,503,11413,9.01,33.82,63.03
253,1136,17210,6.37,68.81,213.66
254,352,8242,5.96,42.8,61.84
255,363,2969,6.3,68.64,61.51
256,969,18997,8.39,79.33,142.92
257,697,5446,7.48,53.45,100.23
258,612,2340,7.08,33.71,88.12
259,127,2364,7.16,44.35,18.42
260,234,17115,7.23,59.02,40.34
261,134,15236,9.59,58.58,15.87
262,1024,16928,6.18,33.09,186.06
263,753,3263,7.77,38.63,97.55
264,946,14898,7.86,60.49,139.27
265,629,13194,7.34,46.92,97.95
266,735,2659,6.98,57.9,108.56
267,566,5427,7.0,59.14,83.69
268,766,10665,9.85,64.92,87.67
269,223,10644,8.02,62.17,30.97
270,311,17748,5.92,63.52,63.58
271,87,12381,6.89,77.56,14.74
272,1045,6791,6.52,36.88,163.92
273,257,17135,8.97,71.76,36.36
274,127,11535,9.44,60.9,15.48
275,365,5816,6.31,64.64,63.79
276,389,14841,5.7,48.21,80.09
277,959,9836,8.89,69.19,119.76
278,539,10640,9.85,69.22,65.41
279,447,12553,8.55,58.52,59.49
280,627,13013,7.76,50.93,88.39
281,458,5035,9.43,32.61,50.91
282,810,18671,9.7,65.57,102.34
283,305,9840,5.88,38.02,56.69
284,1101,5328,9.24,34.59,130.66
285,973,11955,9.69,50.74,111.42
286,815,8225,7.24,34.08,118.47
287,702,3746,9.28,62.5,82.79
288,331,1755,6.79,71.49,52.75
289,334,15871,7.52,30.26,49.3
290,574,7566,9.26,57.44,69.21
291,1130,14369,6.0,44.41,211.11
292,147,8313,7.39,69.69,22.3
293,277,16878,8.19,30.82,39.59
294,545,5204,6.81,30.08,82.95
295,903,6637,8.49,34.28,118.8
296,188,17737,7.95,69.32,28.94
297,91,13294,9.43,32.18,10.81
298,814,8811,8.86,47.85,95.65
299,543,3896,8.97,66.76,63.91
300,140,12044,7.96,70.68,19.85
301,1001,16180,8.34,70.57,138.84
302,987,1711,6.82,32.19,142.77
303,135,10841,9.7,55.77,16.37
304,1162,16012,6.64,67.66,203.7
305,781,2066,9.4,46.6,81.62
306,803,14818,9.5,67.17,104.35
307,841,11609,9.88,54.81,95.89
308,1113,9239,9.11,66.35,132.02
309,419,18374,6.82,35.13,71.47
310,655,10543,7.51,65.88,96.16
311,959,12019,7.51,66.34,153.8
312,940,9496,8.38,69.57,121.98
313,881,12404,7.81,67.49,126.77
314,113,5178,9.32,63.9,13.03
315,308,2703,6.56,62.26,48.72
316,116,5527,8.56,77.44,14.89
317,207,5011,7.88,49.9,28.0
318,561,4217,5.62,39.3,104.22
319,1200,4358,6.68,43.01,186.46
320,634,16595,6.4,36.79,110.58
321,403,15085,9.99,70.53,50.59
322,704,11884,8.69,57.5,90.07
323,664,5661,8.7,76.37,86.06
324,790,17170,6.51,79.26,154.9
325,534,16688,5.62,57.7,111.11
326,1179,4752,8.25,34.31,146.85
327,1030,17725,7.35,50.47,166.37
328,306,10888,8.39,52.5,41.38
329,755,4705,9.45,69.01,88.05
330,422,4728,7.45,75.54,59.58
331,304,17477,6.19,38.23,56.67
332,511,11838,9.76,55.94,57.97
333,211,8711,6.38,77.82,37.1
334,670,17981,5.92,62.05,138.0
335,365,6109,8.46,66.03,47.74
336,134,1429,5.87,77.43,25.09
337,592,7407,8.95,50.83,72.15
338,1069,18377,6.8,77.83,196.12
339,881,10246,7.54,64.43,128.0
340,901,16367,7.59,47.01,133.22
341,703,11817,9.89,36.54,78.45
342,1200,3979,6.94,53.32,176.78
343,557,5116,5.94,44.51,97.43
344,906,8635,9.83,75.12,108.45
345,690,6720,8.93,54.91,83.39
346,1071,10610,7.74,34.5,151.42
347,986,8388,6.47,47.64,157.75
348,1063,15920,6.79,30.41,174.35
349,324,9166,8.77,68.19,41.24
350,870,2176,8.07,39.73,110.74
351,200,13159,7.77,68.22,29.52
352,293,4716,9.89,49.7,31.94
353,744,18779,9.73,67.75,91.22
354,1092,13652,7.75,32.27,154.33
355,732,16023,7.84,37.45,112.59
356,336,11246,9.69,45.93,38.16
357,662,11522,7.78,55.49,95.84
358,663,16061,9.17,48.42,85.37
359,903,10581,9.09,66.27,115.56
360,104,16051,6.69,62.78,19.38
361,516,2182,8.13,38.53,65.69
362,828,5342,9.2,42.11,95.5
363,275,6751,5.59,45.68,50.69
364,467,13947,7.76,60.57,69.82
365,177,5024,7.83,58.04,25.32
366,1029,17718,7.2,77.83,176.89
367,1141,11717,7.96,63.79,170.6
368,591,16365,6.37,42.33,108.59
369,510,10252,8.97,65.25,65.83
370,1051,10888,7.66,58.02,161.3
371,610,9930,6.05,63.83,112.53
372,858,11809,9.8,70.23,99.72
373,639,3089,7.06,52.12,91.42
374,1031,7511,6.41,56.93,182.91
375,606,4998,5.99,67.04,106.98
376,153,17901,6.52,41.64,26.56
377,726,15979,5.95,68.54,139.5
378,1177,5675,7.33,76.75,185.53
379,1027,7035,8.9,44.36,120.86
380,171,3431,8.44,41.61,21.46
381,126,6236,7.38,71.88,19.75
382,124,13508,9.05,39.32,15.94
383,642,1727,5.54,58.4,115.16
384,736,9824,7.54,62.07,110.06
385,324,17022,7.61,39.64,47.89
386,382,15537,8.42,65.93,51.46
387,740,10167,8.06,67.86,101.36
388,880,14514,7.82,34.34,131.05
389,428,5107,7.65,76.79,58.9
390,835,8217,7.51,43.35,118.27
391,73,9070,8.44,64.64,9.28
392,292,15750,6.88,50.27,49.17
393,686,4347,8.37,77.03,88.95
394,502,7680,9.81,53.91,55.28
395,815,14126,8.66,75.64,115.82
396,497,8608,8.56,59.79,66.14
397,1126,15139,7.88,48.09,171.39
398,279,2523,9.23,75.14,31.58
399,1149,5410,6.24,72.72,201.74
400,470,16517,5.91,55.52,96.58
401,978,4823,7.81,52.84,126.17
402,996,10598,8.75,49.8,129.88
403,496,2893,5.7,47.23,85.63
404,173,2761,9.94,53.6,17.63
405,418,4937,8.95,78.92,52.6
406,910,12770,9.97,49.12,106.73
407,823,12809,5.86,78.21,173.64
408,322,11895,6.03,79.64,62.62
409,310,7797,9.26,67.81,39.16
410,998,18340,7.41,48.96,155.07
411,993,11842,6.2,39.42,185.85
412,281,1555,9.14,50.96,32.11
413,82,8386,6.43,35.04,13.18
414,149,8519,8.83,50.11,17.83
415,494,2349,6.13,79.67,85.05
416,703,11007,6.57,73.81,130.48
417,1117,7743,7.36,43.76,164.45
418,408,14498,8.0,32.34,57.49
419,830,17685,6.93,50.82,136.23
420,820,6525,8.89,53.68,102.44
421,665,5230,9.13,75.74,81.09
422,903,18761,7.88,49.42,132.76
423,726,3090,9.65,72.36,77.72
424,440,2188,6.71,63.68,69.55
425,199,6665,9.12,59.38,24.12
426,494,16208,6.44,75.35,91.82
427,81,7440,9.72,78.1,9.09
428,1030,8449,8.63,65.19,131.99
429,540,18590,6.95,44.15,91.83
430,785,10606,6.68,55.64,131.41
431,251,15884,8.93,46.01,31.61
432,690,14063,5.71,73.2,147.71
433,83,9045,7.99,59.2,11.79
434,654,5494,6.38,41.5,108.89
435,553,16861,7.98,77.17,84.0
436,1050,16575,7.57,66.64,164.61
437,336,18409,7.7,75.84,54.57
438,170,17668,5.65,72.33,38.63
439,149,709,7.36,72.13,20.72
440,359,799,6.48,52.8,53.69
441,1039,16486,5.57,56.61,218.21
442,84,17847,8.75,56.79,11.22
443,1078,14609,9.13,75.49,136.63
444,247,17683,6.17,39.6,47.24
445,775,9259,9.08,33.95,97.54
446,990,8469,9.96,41.29,109.8
447,215,1538,5.92,48.96,37.07
448,164,809,8.66,34.13,19.75
449,728,3624,9.53,75.96,81.02
450,1023,9383,5.71,33.72,204.31
451,1162,18965,8.46,38.97,169.13
452,82,7288,8.14,67.61,11.43
453,865,3021,6.85,58.2,133.11
454,846,18213,6.99,67.78,142.83
455,210,16909,8.85,47.29,26.63
456,525,2990,7.03,68.45,83.38
457,862,11194,5.63,43.67,178.63
458,1054,7975,7.1,77.06,167.81
459,828,3308,8.97,44.77,92.94
460,200,3188,6.71,49.0,31.63
461,365,13267,6.93,35.33,56.71
462,681,15073,7.12,43.49,106.02
463,433,14622,7.52,57.74,66.4
464,103,3436,7.09,34.65,15.17
465,714,13123,5.56,50.69,149.53
466,1195,8454,8.07,38.48,158.68
467,334,9311,6.86,54.66,51.37
468,940,9542,7.39,54.21,134.56
469,565,8580,8.74,54.79,71.69
470,987,4005,6.11,30.34,166.26
471,828,11298,7.48,51.53,127.58
472,328,10344,6.94,77.36,53.36
473,693,6320,9.84,78.44,77.49
474,1055,8443,6.97,44.02,168.83
475,797,4231,9.69,39.99,89.99
476,418,18525,5.62,66.36,95.07
477,479,14867,9.09,71.56,60.42
478,887,16861,6.13,45.14,164.91
479,365,14365,9.05,33.7,48.39
480,1031,13633,7.9,76.17,161.83
481,906,18314,5.67,78.42,203.83
482,1149,3284,5.99,42.41,201.38
483,390,1951,8.03,62.25,51.47
484,729,14605,5.98,34.93,135.83
485,1112,18784,8.11,58.76,164.83
486,851,15673,8.98,59.43,111.69
487,756,1304,7.67,44.77,104.05
488,225,4303,9.24,66.51,25.84
489,752,15420,9.03,56.06,95.81
490,249,14857,8.75,52.62,31.43
491,141,4271,5.6,47.15,25.23
492,386,8492,7.82,57.6,53.45
493,923,15640,6.54,50.25,158.13
494,935,13462,5.63,60.71,186.64
495,929,13241,5.52,40.74,186.36
496,178,3834,9.1,56.84,20.31
497,453,15493,6.01,63.54,89.32
498,691,13234,8.25,59.35,95.15
499,987,6153,9.16,65.3,115.49
500,223,4889,6.91,41.93,32.55
501,814,5132,7.8,50.91,105.93
502,835,14362,6.34,61.78,157.15
503,404,18683,6.25,44.44,74.32
504,973,2256,9.39,77.59,111.63
505,449,13081,9.84,55.27,52.12
506,1057,14119,8.7,52.19,134.62
507,113,7726,6.81,43.74,17.94
508,394,15485,8.05,68.63,58.6
509,1096,4209,8.08,43.39,141.96
510,801,18261,9.2,32.08,105.22
511,1168,7661,9.95,35.12,130.55
512,556,10255,9.44,31.61,63.4
513,228,14887,9.39,35.87,28.77
514,479,11989,9.37,60.51,58.03
515,335,7270,9.16,70.27,41.11
516,1140,9710,8.19,38.42,160.02
517,649,9980,8.08,77.62,93.35
518,245,4942,9.83,69.28,28.3
519,617,4657,8.66,36.63,71.93
520,709,8611,8.93,63.81,88.52
521,600,14073,7.19,33.78,98.0
522,240,13700,7.82,43.91,36.42
523,805,15399,9.78,46.36,90.26
524,240,15522,8.36,64.86,35.35
525,1144,13532,6.48,51.48,195.23
526,599,11079,9.23,46.89,72.65
527,1043,11763,9.52,68.11,121.12
528,991,1033,6.06,72.88,171.77
529,51,14518,6.41,64.43,9.03
530,668,5709,9.43,73.83,75.26
531,788,8704,5.87,63.23,152.02
532,156,13487,8.32,66.3,22.53
533,929,3488,8.67,30.05,110.63
534,321,7911,7.84,52.25,42.2
535,753,4451,9.95,51.12,76.31
536,195,8002,7.22,66.54,28.94
537,691,12544,9.46,36.86,84.46
538,322,5181,5.81,58.16,59.9
539,386,14921,7.08,40.65,64.21
540,893,14996,9.37,34.33,105.22
541,302,13083,7.08,51.47,49.79
542,557,9575,8.4,42.41,73.39
543,633,1378,9.32,62.92,69.23
544,1110,17196,6.35,49.59,207.86
545,540,16716,7.24,42.05,88.26
546,195,17810,9.5,30.6,23.85
547,698,4824,7.24,71.95,104.66
548,1168,6161,8.93,77.72,150.51
549,84,2712,5.56,40.79,16.17
550,865,17100,6.79,65.63,157.95
551,917,13681,5.87,56.83,182.11
552,618,3239,6.89,55.57,90.85
553,368,18076,6.97,59.32,65.18
554,185,10663,8.64,66.5,25.33
555,168,8511,5.89,51.72,30.91
556,162,10634,8.5,62.9,20.93
557,75,4996,8.66,38.19,9.51
558,1121,17448,9.02,66.04,145.63
559,309,9306,8.8,35.9,39.92
560,736,14568,6.72,33.19,128.14
561,207,16757,7.55,48.01,32.01
562,391,12548,6.21,68.67,76.41
563,286,7984,8.83,30.13,36.23
564,75,8513,5.71,48.2,14.85
565,416,1658,7.99,75.7,56.99
566,908,7856,6.95,50.81,144.25
567,605,3052,8.07,35.97,78.6
568,157,6376,6.5,55.79,24.81
569,871,2758,9.45,73.3,101.84
570,686,11224,5.89,52.84,128.57
571,647,18974,9.03,66.98,85.87
572,804,16666,9.99,68.79,99.69
573,1169,8532,6.18,76.62,205.93
574,1159,11851,8.36,64.67,151.79
575,736,547,8.92,48.81,84.94
576,679,3906,6.42,79.16,115.37
577,172,5165,8.7,34.65,21.67
578,1114,14035,8.65,48.62,153.83
579,223,3631,7.77,61.86,30.13
580,177,14753,8.48,36.54,23.45
581,695,13376,8.65,66.77,92.44
582,606,8154,5.84,40.14,115.37
583,273,5592,5.98,52.48,47.54
584,297,18061,7.11,68.52,50.9
585,998,9183,9.34,34.52,120.25
586,673,1821,6.47,72.83,106.85
587,558,12156,7.28,32.45,84.24
588,406,1518,9.78,72.73,44.31
589,1176,8687,5.93,35.1,221.87
590,298,891,5.78,69.05,52.5
591,455,13626,7.18,61.51,74.73
592,580,2957,5.6,33.22,110.93
593,958,4720,5.91,72.36,182.82
594,300,1899,9.74,32.53,32.72
595,937,13443,7.73,49.14,136.5
596,774,7535,9.59,43.75,86.32
597,354,1635,8.26,60.85,45.16
598,1071,14000,9.47,53.95,124.59
599,834,4996,7.39,62.13,124.98
600,560,18314,9.08,79.47,79.45
601,785,16218,7.95,54.23,120.5
602,1078,11038,7.25,38.99,162.11
603,498,1460,9.53,68.93,52.6
604,1016,17848,7.11,59.2,166.92
605,376,3781,6.62,42.06,59.14
606,164,7689,8.09,79.13,22.84
607,405,6270,6.56,45.9,67.17
608,784,1424,8.67,47.58,92.33
609,341,18951,9.77,71.83,44.67
610,1058,18264,6.89,54.52,175.73
611,526,7669,5.59,53.9,100.39
612,462,4775,7.03,38.87,70.94
613,712,2451,5.6,59.33,138.23
614,277,17745,9.37,78.03,36.29
615,860,3810,7.01,46.13,133.42
616,944,16464,8.42,38.71,136.69
617,780,7815,8.49,70.72,101.9
618,653,4672,6.3,30.09,110.69
619,851,1561,6.32,45.91,140.98
620,502,3911,9.72,37.03,54.98
621,537,11864,9.92,38.39,62.89
622,231,11501,7.51,43.26,33.44
623,188,11984,6.65,35.4,30.08
624,840,14859,8.8,78.46,120.33
625,1059,12909,7.08,48.77,174.44
626,511,5829,7.53,69.96,71.2
627,91,10943,6.68,35.24,14.87
628,818,5772,8.79,57.35,103.86
629,240,11573,8.17,60.68,33.42
630,113,14633,9.74,38.25,13.82
631,371,2254,5.96,40.28,61.68
632,1184,18198,6.69,44.08,203.7
633,151,13374,8.07,71.99,21.38
634,788,625,7.42,44.73,108.59
635,1033,7042,5.94,40.35,188.72
636,217,16017,9.3,45.42,26.79
637,1051,9183,5.91,57.21,190.76
638,831,12604,6.34,32.23,146.7
639,589,7913,9.27,58.21,67.26
640,248,3308,8.51,70.41,31.07
641,515,18640,5.77,49.36,106.13
642,1146,16059,8.08,41.78,161.3
643,858,1637,7.76,75.02,121.55
644,351,4441,9.77,52.45,39.4
645,392,7443,9.14,36.31,45.73
646,941,7116,9.99,61.36,106.64
647,578,10977,9.6,75.71,67.21
648,844,18730,7.29,46.31,134.38
649,988,905,9.04,61.15,112.99
650,909,4187,7.36,37.41,129.81
651,255,3961,8.03,35.05,32.31
652,1146,11767,9.45,43.21,137.64
653,1018,1727,6.27,50.15,167.17
654,872,1770,7.28,73.95,130.17
655,150,16071,9.64,74.85,18.05
656,670,10689,6.76,54.58,112.88
657,251,7969,6.1,78.71,46.71
658,707,9328,8.78,60.25,86.15
659,954,7426,9.61,50.36,106.55
660,1107,12752,9.19,55.76,132.7
661,687,17106,7.32,69.03,114.37
662,109,6193,6.37,71.65,19.6
663,560,1583,7.55,75.9,80.87
664,611,12570,9.21,55.26,76.49
665,303,1501,6.59,54.44,46.83
666,1021,18566,7.07,38.18,177.98
667,235,9841,5.62,32.48,47.56
668,488,7753,8.41,63.88,62.78
669,888,17319,5.59,69.02,198.63
670,68,16035,9.6,62.37,8.51
671,67,7832,6.64,70.25,11.1
672,613,14387,9.53,72.58,76.58
673,496,15792,6.86,56.03,85.78
674,259,740,7.8,63.12,35.51
675,816,18897,8.41,60.45,115.4
676,271,16285,5.79,79.42,58.44
677,617,9057,8.45,77.61,85.3
678,435,5412,7.83,42.02,55.97
679,877,10972,8.56,66.06,119.17
680,655,9000,9.58,50.23,76.32
681,438,11744,8.77,41.12,56.0
682,1024,12247,7.78,72.27,159.58
683,1193,6435,6.82,53.54,192.02
684,1194,6498,9.76,74.98,138.91
685,505,12141,6.5,73.57,90.51
686,728,12679,6.67,44.7,127.3
687,1013,2258,9.4,59.18,117.21
688,195,15973,9.5,55.02,24.93
689,831,17861,6.84,32.7,148.26
690,331,7063,7.04,79.36,55.39
691,987,5193,6.92,65.78,159.09
692,1048,11399,8.34,38.84,141.87
693,59,15312,6.73,68.06,10.13
694,374,16542,9.03,68.99,48.25
695,938,14570,7.32,78.27,153.3
696,127,17990,6.4,48.66,22.28
697,709,17900,6.36,63.84,136.78
698,559,7914,8.62,47.22,67.38
699,835,16993,8.15,38.35,123.75
700,660,10029,7.55,56.01,97.58
701,938,4884,7.04,75.07,144.69
702,435,5902,9.77,75.91,49.12
703,517,7850,8.77,36.56,65.07
704,1083,6037,6.05,65.56,201.44
705,818,8881,8.97,61.16,102.46
706,148,4042,8.44,30.99,18.59
707,903,15059,7.21,57.36,145.85
708,363,7233,8.63,61.52,45.23
709,256,17549,6.71,60.28,44.11
710,264,17263,8.73,35.89,34.09
711,267,16809,6.39,39.99,47.65
712,1121,7108,7.11,50.49,163.3
713,1172,16764,9.6,64.41,146.37
714,530,589,5.56,34.45,92.15
715,1061,5387,9.77,68.98,113.74
716,257,8885,8.4,52.84,35.1
717,590,15713,5.73,70.66,128.71
718,645,12303,9.11,45.64,81.41
719,244,2003,5.54,36.92,45.59
720,723,12215,9.53,77.75,87.78
721,240,12710,9.17,39.14,29.21
722,984,9407,9.26,64.5,119.37
723,913,5965,6.01,64.81,158.43
724,376,3898,7.37,59.54,55.65
725,947,6439,8.25,68.96,128.22
